,saa_objectives,grader_objectives,grader_greedy_objectives,grader_random_objectives
56,28.0,28.0,30.0,35.0
57,30.0,29.0,26.0,34.0
58,32.0,31.0,32.0,39.0
59,19.0,19.0,11.0,21.0
60,22.0,21.0,22.0,25.0
61,29.0,29.0,28.0,37.0
62,20.0,20.0,26.0,37.0
63,25.0,25.0,24.0,27.0
64,21.0,21.0,20.0,19.0
65,25.0,25.0,25.0,27.0
66,16.0,16.0,14.0,15.0
67,13.0,13.0,14.0,16.0
68,27.0,27.0,24.0,32.0
69,22.0,22.0,21.0,29.0
70,29.0,29.0,25.0,33.0
71,21.0,21.0,16.0,17.0
72,26.0,26.0,23.0,28.0
73,31.0,31.0,30.0,39.0
74,24.0,24.0,21.0,27.0
75,23.0,23.0,26.0,34.0
76,25.0,25.0,26.0,30.0
77,21.0,21.0,16.0,20.0
78,21.0,21.0,19.0,23.0
79,23.0,23.0,20.0,25.0
80,30.0,30.0,28.0,35.0
81,27.0,27.0,22.0,33.0
82,28.0,28.0,28.0,33.0
83,26.0,26.0,26.0,42.0
84,23.0,22.0,22.0,28.0
85,18.0,18.0,17.0,22.0
86,21.0,21.0,18.0,20.0
87,13.0,13.0,14.0,18.0
88,32.0,32.0,24.0,29.0
89,22.0,22.0,22.0,26.0
90,25.0,25.0,24.0,31.0
91,26.0,26.0,29.0,38.0
92,19.0,19.0,18.0,26.0
93,27.0,27.0,24.0,25.0
94,20.0,20.0,19.0,24.0
95,14.0,13.0,18.0,24.0
96,15.0,15.0,13.0,26.0
97,25.0,25.0,24.0,25.0
98,24.0,23.0,24.0,31.0
99,28.0,28.0,20.0,27.0
100,20.0,20.0,15.0,23.0
101,17.0,17.0,25.0,33.0
102,25.0,25.0,27.0,30.0
103,17.0,17.0,20.0,27.0
104,19.0,19.0,18.0,24.0
105,24.0,24.0,23.0,27.0
106,30.0,30.0,31.0,34.0
107,17.0,17.0,20.0,22.0
108,17.0,17.0,19.0,17.0
109,28.0,28.0,25.0,31.0
110,31.0,31.0,28.0,34.0
111,24.0,22.0,18.0,26.0
112,31.0,31.0,30.0,26.0
113,22.0,22.0,15.0,20.0
114,20.0,20.0,19.0,30.0
115,24.0,24.0,22.0,27.0
116,25.0,24.0,23.0,28.0
117,27.0,27.0,25.0,38.0
118,26.0,26.0,24.0,31.0
119,28.0,28.0,26.0,31.0
120,24.0,23.0,25.0,32.0
121,19.0,18.0,15.0,23.0
122,29.0,29.0,32.0,34.0
123,25.0,25.0,17.0,22.0
124,26.0,26.0,21.0,25.0
125,24.0,24.0,24.0,28.0
126,26.0,26.0,21.0,31.0
127,14.0,14.0,9.0,18.0
128,28.0,28.0,28.0,24.0
129,22.0,22.0,22.0,30.0
130,22.0,21.0,24.0,28.0
131,22.0,21.0,23.0,28.0
132,20.0,20.0,21.0,28.0
133,20.0,20.0,25.0,34.0
134,20.0,20.0,16.0,26.0
135,24.0,24.0,24.0,28.0
136,29.0,28.0,34.0,37.0
137,23.0,23.0,20.0,28.0
138,26.0,26.0,25.0,34.0
139,31.0,31.0,30.0,35.0
140,24.0,24.0,18.0,22.0
141,27.0,27.0,23.0,26.0
142,26.0,26.0,33.0,44.0
143,23.0,23.0,26.0,30.0
144,21.0,21.0,17.0,34.0
145,14.0,14.0,16.0,27.0
146,13.0,12.0,12.0,27.0
147,25.0,25.0,24.0,33.0
148,19.0,19.0,15.0,18.0
149,32.0,32.0,28.0,30.0
150,21.0,20.0,21.0,29.0
151,18.0,17.0,15.0,29.0
152,21.0,21.0,18.0,26.0
153,22.0,22.0,22.0,21.0
154,25.0,25.0,19.0,25.0
155,32.0,32.0,28.0,34.0
156,22.0,22.0,18.0,31.0
157,24.0,23.0,27.0,27.0
158,26.0,26.0,33.0,35.0
159,28.0,28.0,20.0,29.0
160,25.0,25.0,22.0,28.0
161,24.0,24.0,21.0,26.0
162,17.0,16.0,20.0,30.0
163,25.0,25.0,15.0,24.0
164,22.0,22.0,24.0,30.0
165,20.0,20.0,25.0,29.0
166,15.0,15.0,18.0,21.0
167,22.0,22.0,21.0,21.0
168,23.0,23.0,23.0,32.0
169,24.0,24.0,25.0,28.0
170,21.0,21.0,19.0,28.0
171,19.0,19.0,26.0,28.0
172,26.0,24.0,23.0,29.0
173,18.0,18.0,18.0,22.0
174,26.0,26.0,24.0,27.0
175,25.0,24.0,21.0,30.0
176,28.0,28.0,26.0,26.0
177,19.0,19.0,19.0,22.0
178,23.0,22.0,21.0,28.0
179,28.0,28.0,28.0,34.0
180,21.0,21.0,18.0,23.0
181,22.0,21.0,21.0,29.0
182,31.0,31.0,37.0,42.0
183,19.0,19.0,17.0,22.0
184,29.0,29.0,23.0,25.0
185,22.0,22.0,16.0,23.0
186,26.0,24.0,28.0,32.0
187,27.0,26.0,27.0,34.0
188,18.0,18.0,18.0,23.0
189,29.0,29.0,25.0,27.0
190,26.0,26.0,22.0,28.0
191,28.0,28.0,27.0,31.0
192,21.0,21.0,16.0,23.0
193,20.0,20.0,16.0,23.0
194,19.0,18.0,13.0,25.0
195,22.0,22.0,17.0,27.0
196,28.0,28.0,22.0,31.0
197,22.0,22.0,22.0,28.0
198,21.0,21.0,25.0,27.0
199,23.0,22.0,21.0,31.0
200,25.0,25.0,24.0,33.0
201,19.0,19.0,17.0,30.0
202,25.0,25.0,30.0,33.0
203,25.0,25.0,27.0,29.0
204,20.0,19.0,18.0,15.0
205,21.0,21.0,27.0,28.0
206,26.0,26.0,27.0,29.0
207,23.0,22.0,23.0,21.0
208,28.0,28.0,27.0,29.0
209,18.0,17.0,20.0,25.0
210,27.0,27.0,26.0,33.0
211,29.0,29.0,30.0,34.0
212,25.0,23.0,21.0,26.0
213,26.0,25.0,25.0,34.0
214,19.0,19.0,20.0,19.0
215,23.0,23.0,25.0,26.0
216,28.0,28.0,26.0,37.0
217,19.0,19.0,16.0,17.0
218,28.0,28.0,25.0,35.0
219,19.0,19.0,17.0,22.0
220,26.0,26.0,23.0,23.0
221,28.0,28.0,25.0,35.0
222,26.0,26.0,21.0,28.0
223,30.0,30.0,25.0,31.0
224,25.0,25.0,26.0,29.0
225,30.0,30.0,34.0,34.0
226,28.0,28.0,30.0,36.0
227,26.0,26.0,26.0,27.0
228,17.0,17.0,22.0,24.0
229,19.0,19.0,29.0,33.0
230,22.0,19.0,17.0,29.0
231,28.0,28.0,31.0,32.0
232,18.0,18.0,19.0,22.0
233,21.0,21.0,18.0,24.0
234,20.0,20.0,17.0,20.0
235,23.0,23.0,21.0,21.0
236,28.0,27.0,28.0,39.0
237,25.0,25.0,23.0,37.0
238,23.0,23.0,21.0,26.0
239,27.0,27.0,27.0,31.0
240,29.0,28.0,26.0,34.0
241,25.0,25.0,23.0,34.0
242,32.0,32.0,30.0,37.0
243,28.0,28.0,29.0,35.0
244,24.0,24.0,22.0,20.0
245,18.0,18.0,15.0,24.0
246,25.0,24.0,21.0,28.0
247,28.0,28.0,27.0,24.0
248,23.0,23.0,23.0,31.0
249,28.0,28.0,26.0,30.0
250,32.0,32.0,41.0,44.0
251,26.0,26.0,22.0,32.0
252,28.0,26.0,26.0,23.0
253,28.0,28.0,32.0,34.0
254,28.0,27.0,26.0,31.0
255,22.0,22.0,28.0,30.0
256,17.0,17.0,20.0,30.0
257,22.0,22.0,31.0,39.0
258,24.0,24.0,27.0,26.0
259,22.0,22.0,17.0,29.0
260,24.0,24.0,24.0,25.0
261,29.0,29.0,19.0,26.0
262,24.0,23.0,20.0,24.0
263,22.0,22.0,20.0,26.0
264,28.0,28.0,27.0,30.0
265,32.0,32.0,31.0,37.0
266,25.0,25.0,23.0,27.0
267,25.0,25.0,24.0,24.0
268,27.0,27.0,32.0,38.0
269,19.0,19.0,23.0,22.0
270,29.0,28.0,26.0,34.0
271,29.0,28.0,28.0,27.0
272,17.0,17.0,19.0,25.0
273,29.0,28.0,27.0,31.0
274,27.0,27.0,28.0,33.0
275,21.0,21.0,18.0,20.0
276,24.0,23.0,22.0,30.0
277,25.0,25.0,18.0,26.0
278,24.0,24.0,29.0,25.0
279,19.0,19.0,19.0,23.0
280,26.0,26.0,24.0,32.0
281,23.0,23.0,24.0,20.0
282,27.0,27.0,29.0,33.0
283,17.0,17.0,17.0,19.0
284,26.0,26.0,25.0,24.0
285,23.0,23.0,24.0,25.0
286,19.0,19.0,22.0,25.0
287,21.0,21.0,22.0,28.0
288,27.0,26.0,24.0,26.0
289,25.0,24.0,16.0,26.0
290,17.0,17.0,22.0,30.0
291,18.0,17.0,19.0,19.0
292,28.0,27.0,29.0,31.0
293,21.0,21.0,25.0,25.0
294,16.0,15.0,17.0,20.0
295,26.0,26.0,26.0,34.0
296,28.0,28.0,29.0,33.0
297,18.0,18.0,13.0,18.0
298,20.0,20.0,21.0,27.0
299,30.0,30.0,32.0,34.0
300,26.0,26.0,28.0,30.0
301,21.0,21.0,17.0,32.0
302,28.0,28.0,22.0,28.0
303,22.0,22.0,21.0,24.0
304,27.0,27.0,27.0,36.0
305,21.0,21.0,15.0,21.0
306,28.0,28.0,29.0,34.0
307,16.0,16.0,17.0,19.0
308,25.0,25.0,30.0,34.0
309,22.0,22.0,22.0,26.0
310,17.0,17.0,19.0,21.0
311,21.0,20.0,19.0,26.0
312,23.0,23.0,19.0,25.0
313,23.0,23.0,18.0,24.0
314,24.0,24.0,25.0,40.0
315,23.0,22.0,29.0,28.0
316,24.0,24.0,26.0,27.0
317,26.0,26.0,29.0,29.0
318,30.0,30.0,22.0,29.0
319,19.0,19.0,18.0,17.0
320,28.0,28.0,24.0,35.0
321,26.0,26.0,23.0,33.0
322,24.0,24.0,29.0,29.0
323,24.0,24.0,24.0,28.0
324,23.0,23.0,29.0,37.0
325,28.0,28.0,26.0,33.0
326,23.0,23.0,20.0,21.0
327,25.0,25.0,24.0,29.0
328,27.0,27.0,28.0,29.0
329,25.0,25.0,28.0,31.0
330,17.0,17.0,20.0,23.0
331,30.0,30.0,29.0,36.0
332,30.0,30.0,24.0,30.0
333,21.0,21.0,13.0,23.0
334,30.0,30.0,27.0,34.0
335,23.0,23.0,23.0,30.0
336,21.0,21.0,16.0,23.0
337,28.0,28.0,24.0,33.0
338,27.0,27.0,26.0,29.0
339,17.0,17.0,22.0,21.0
340,28.0,28.0,24.0,29.0
341,21.0,21.0,17.0,23.0
342,25.0,25.0,21.0,21.0
343,19.0,19.0,22.0,27.0
344,19.0,19.0,25.0,30.0
345,20.0,20.0,19.0,25.0
346,22.0,22.0,25.0,35.0
347,20.0,19.0,18.0,30.0
348,24.0,24.0,25.0,29.0
349,26.0,26.0,26.0,35.0
350,32.0,32.0,31.0,37.0
351,23.0,23.0,24.0,25.0
352,29.0,29.0,31.0,33.0
353,18.0,18.0,19.0,20.0
354,18.0,18.0,22.0,25.0
355,27.0,27.0,23.0,27.0
356,25.0,25.0,25.0,24.0
357,19.0,19.0,23.0,26.0
358,24.0,24.0,24.0,38.0
359,31.0,31.0,28.0,32.0
360,30.0,30.0,32.0,41.0
361,26.0,26.0,22.0,18.0
362,23.0,22.0,23.0,24.0
363,24.0,24.0,25.0,33.0
364,20.0,20.0,26.0,32.0
365,22.0,22.0,21.0,22.0
366,23.0,23.0,23.0,31.0
367,18.0,18.0,18.0,19.0
368,32.0,32.0,28.0,33.0
369,29.0,29.0,22.0,40.0
370,21.0,20.0,20.0,25.0
371,26.0,25.0,31.0,39.0
372,26.0,26.0,26.0,35.0
373,19.0,19.0,22.0,22.0
374,22.0,22.0,17.0,27.0
375,21.0,21.0,15.0,24.0
376,20.0,20.0,22.0,22.0
377,23.0,23.0,21.0,24.0
378,26.0,26.0,27.0,21.0
379,26.0,26.0,26.0,32.0
380,20.0,19.0,22.0,30.0
381,20.0,20.0,17.0,19.0
382,22.0,22.0,27.0,31.0
383,18.0,18.0,17.0,24.0
384,30.0,30.0,28.0,35.0
385,31.0,31.0,31.0,34.0
386,20.0,20.0,22.0,25.0
387,29.0,29.0,27.0,25.0
388,18.0,18.0,15.0,28.0
389,23.0,23.0,22.0,24.0
390,21.0,21.0,21.0,27.0
391,23.0,23.0,20.0,26.0
392,20.0,20.0,23.0,32.0
393,30.0,30.0,26.0,32.0
394,29.0,29.0,30.0,31.0
395,18.0,18.0,18.0,24.0
396,23.0,23.0,21.0,30.0
397,30.0,30.0,29.0,35.0
398,29.0,29.0,26.0,28.0
399,31.0,31.0,29.0,32.0
400,23.0,23.0,24.0,34.0
401,27.0,27.0,22.0,31.0
402,22.0,22.0,18.0,28.0
403,28.0,27.0,30.0,34.0
404,17.0,17.0,21.0,22.0
405,23.0,22.0,24.0,24.0
406,21.0,21.0,24.0,33.0
407,17.0,17.0,26.0,32.0
408,26.0,26.0,25.0,34.0
409,25.0,25.0,24.0,25.0
410,17.0,16.0,16.0,22.0
411,22.0,22.0,21.0,29.0
412,15.0,15.0,11.0,17.0
413,28.0,27.0,29.0,36.0
414,25.0,25.0,27.0,29.0
415,16.0,16.0,16.0,22.0
416,27.0,27.0,23.0,33.0
417,19.0,19.0,17.0,24.0
418,25.0,25.0,25.0,32.0
419,22.0,22.0,22.0,22.0
420,27.0,27.0,25.0,32.0
421,25.0,25.0,26.0,27.0
422,32.0,32.0,29.0,34.0
423,22.0,22.0,18.0,24.0
424,21.0,21.0,24.0,23.0
425,20.0,20.0,18.0,24.0
426,25.0,25.0,18.0,27.0
427,26.0,26.0,25.0,25.0
428,22.0,22.0,20.0,19.0
429,23.0,23.0,22.0,29.0
430,22.0,21.0,20.0,21.0
431,18.0,18.0,18.0,21.0
432,25.0,25.0,23.0,30.0
433,29.0,29.0,30.0,31.0
434,30.0,30.0,28.0,34.0
435,18.0,18.0,24.0,26.0
436,18.0,18.0,17.0,21.0
437,29.0,29.0,24.0,28.0
438,30.0,29.0,25.0,33.0
439,24.0,24.0,23.0,34.0
440,22.0,22.0,22.0,31.0
441,18.0,18.0,18.0,22.0
442,21.0,21.0,19.0,23.0
443,26.0,26.0,23.0,33.0
444,24.0,24.0,22.0,25.0
445,25.0,25.0,22.0,30.0
446,28.0,28.0,25.0,29.0
447,21.0,18.0,17.0,18.0
448,27.0,26.0,18.0,26.0
449,32.0,32.0,26.0,38.0
450,32.0,31.0,31.0,40.0
451,17.0,17.0,18.0,29.0
452,30.0,30.0,24.0,28.0
453,23.0,23.0,21.0,31.0
454,26.0,26.0,26.0,35.0
455,23.0,23.0,31.0,38.0
456,21.0,21.0,23.0,23.0
457,21.0,21.0,17.0,24.0
458,19.0,19.0,18.0,21.0
459,18.0,18.0,17.0,26.0
460,28.0,26.0,29.0,30.0
461,28.0,28.0,31.0,37.0
462,23.0,23.0,27.0,23.0
463,19.0,19.0,20.0,28.0
464,22.0,22.0,22.0,31.0
465,27.0,27.0,24.0,34.0
466,29.0,29.0,27.0,39.0
467,25.0,25.0,25.0,32.0
468,22.0,22.0,19.0,22.0
469,22.0,22.0,21.0,32.0
470,27.0,27.0,27.0,26.0
471,22.0,22.0,23.0,28.0
472,19.0,19.0,19.0,27.0
473,30.0,29.0,32.0,35.0
474,22.0,22.0,22.0,24.0
475,29.0,29.0,27.0,35.0
476,24.0,24.0,22.0,36.0
477,26.0,26.0,32.0,36.0
478,20.0,19.0,17.0,31.0
479,25.0,25.0,21.0,35.0
480,25.0,25.0,26.0,30.0
481,32.0,32.0,28.0,30.0
482,20.0,20.0,18.0,18.0
483,27.0,27.0,23.0,31.0
484,32.0,32.0,31.0,36.0
485,23.0,23.0,22.0,28.0
486,26.0,26.0,21.0,33.0
487,24.0,24.0,22.0,24.0
488,28.0,28.0,31.0,39.0
489,21.0,21.0,22.0,30.0
490,23.0,23.0,20.0,25.0
491,18.0,18.0,16.0,24.0
492,16.0,16.0,20.0,23.0
493,19.0,19.0,21.0,23.0
494,19.0,19.0,23.0,30.0
495,19.0,19.0,18.0,21.0
496,18.0,18.0,15.0,18.0
497,16.0,16.0,15.0,25.0
498,25.0,25.0,23.0,20.0
499,27.0,25.0,26.0,32.0
