,saa_objectives,grader_objectives,grader_greedy_objectives,grader_random_objectives
0,20.0,19.0,15.0,25.0
1,22.0,22.0,24.0,32.0
2,24.0,23.0,26.0,23.0
3,18.0,18.0,19.0,23.0
4,27.0,27.0,25.0,29.0
5,23.0,23.0,21.0,15.0
6,28.0,28.0,23.0,25.0
7,25.0,25.0,19.0,19.0
8,24.0,24.0,26.0,33.0
9,31.0,31.0,32.0,40.0
10,18.0,16.0,18.0,27.0
11,28.0,28.0,28.0,28.0
12,24.0,23.0,22.0,24.0
13,23.0,22.0,21.0,25.0
14,18.0,18.0,20.0,26.0
15,20.0,20.0,19.0,18.0
16,27.0,27.0,25.0,25.0
17,25.0,25.0,26.0,25.0
18,23.0,23.0,20.0,22.0
19,27.0,27.0,21.0,29.0
20,24.0,24.0,25.0,26.0
21,22.0,22.0,24.0,29.0
22,17.0,17.0,25.0,22.0
23,14.0,14.0,13.0,17.0
24,19.0,19.0,23.0,29.0
25,22.0,22.0,17.0,21.0
26,19.0,19.0,21.0,22.0
27,28.0,28.0,22.0,30.0
28,22.0,22.0,15.0,19.0
29,27.0,26.0,23.0,27.0
30,23.0,23.0,19.0,26.0
31,20.0,20.0,20.0,18.0
32,30.0,30.0,30.0,36.0
33,22.0,21.0,23.0,23.0
34,16.0,16.0,15.0,25.0
35,26.0,26.0,24.0,36.0
36,29.0,29.0,31.0,36.0
37,24.0,24.0,22.0,24.0
38,15.0,14.0,12.0,20.0
39,26.0,26.0,25.0,27.0
40,24.0,24.0,24.0,25.0
41,23.0,22.0,23.0,26.0
42,20.0,20.0,16.0,25.0
43,19.0,19.0,24.0,36.0
44,21.0,21.0,24.0,22.0
45,21.0,20.0,25.0,29.0
46,28.0,28.0,22.0,27.0
47,17.0,17.0,21.0,18.0
48,24.0,24.0,23.0,25.0
49,19.0,19.0,22.0,28.0
50,24.0,24.0,22.0,22.0
51,10.0,10.0,10.0,13.0
52,21.0,21.0,20.0,26.0
53,30.0,30.0,29.0,42.0
54,21.0,21.0,23.0,32.0
55,29.0,29.0,24.0,33.0
