,G,p,budget,from_cache,method,trial_id_x,mip_value,greedy_intersection,maxD,I_size,v1_size,v2_size,num_cross_edges,duration,updated_MIP_x,v1_sum_values,min_exposed_mean,min_exposed_stddev,updated_min_exposed_value,trial_id_y,optimal_MIP_value,mip_ratio
0,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ca15.json,random,1,90.85090368917265,25,28,1217,6233,11135,16931,0.8832420350008761,752.8133110480179,661.9624073588452,118.8,12.517987058628876,780.7624073588452,0,730.2593015268146,1.030884932891711
1,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ca15.json,random,0,90.71655974537258,20,28,1217,6233,11135,16931,0.8853969009996945,752.6789671042177,661.9624073588451,123.6,9.50263121456368,785.562407358845,0,730.2593015268146,1.0307009654386166
2,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ca15.json,dependent,0,69.44266674614695,256,28,1217,6233,11135,16931,1.1481500339996271,731.4050741049922,661.9624073588452,95.2,14.078352176302452,757.1624073588453,0,730.2593015268146,1.0015689941583517
3,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ca15.json,dependent,1,69.4912441630174,252,28,1217,6233,11135,16931,1.222074748999148,731.4536515218626,661.9624073588452,96.6,11.567194992737004,758.5624073588452,0,730.2593015268146,1.0016355149363396
4,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ca15.json,greedy_weighted,0,71.08456659424789,-1,28,1217,6233,11135,16931,0.032429180000690394,733.0469739530931,661.9624073588452,93.2,11.966620241321273,755.1624073588453,0,730.2593015268146,1.0038173733911366
5,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ca15.json,mip_gurobi,0,68.2968941679694,273,28,1217,6233,11135,16931,1.2886059449992902,730.2593015268146,661.9624073588452,94.0,14.035668847618199,755.9624073588452,0,730.2593015268146,1.0
6,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ca15.json,mip_gurobi,1,68.2968941679694,273,28,1217,6233,11135,16931,1.3317584370015538,730.2593015268146,661.9624073588452,96.0,1.0,757.9624073588452,0,730.2593015268146,1.0
7,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ca15.json,greedy_weighted,1,71.08456659424789,-1,28,1217,6233,11135,16931,0.03330135999931372,733.0469739530931,661.9624073588452,87.8,9.391485505499118,749.7624073588452,0,730.2593015268146,1.0038173733911366
8,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/qa7.json,random,0,526.1401509258652,6,59,2359,25664,32967,145552,3.96013340799982,4259.7835208919,3733.6433699660333,1396.6,34.60202306224305,5130.243369966034,0,4186.409030481611,1.017526832632942
9,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/qa7.json,random,1,525.9137808737905,4,59,2359,25664,32967,145552,4.108805210000355,4259.557150839824,3733.643369966034,1399.2,30.35951251255527,5132.843369966034,0,4186.409030481611,1.0174727600255054
10,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/qa7.json,greedy_weighted,0,465.0484413672326,-1,59,2359,25664,32967,145552,0.16391668500000378,4198.691811333268,3733.643369966035,1233.0,53.39007398384086,4966.643369966036,0,4186.409030481611,1.0029339657836167
11,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/qa7.json,greedy_weighted,1,465.0484413672326,-1,59,2359,25664,32967,145552,0.17917720999867015,4198.691811333268,3733.643369966035,1242.2,49.25139591930365,4975.843369966035,0,4186.409030481611,1.0029339657836167
12,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/qa7.json,dependent,0,470.662271397831,169,59,2359,25664,32967,145552,8.673321932999897,4204.305641363865,3733.6433699660333,1308.0,48.18194682658641,5041.643369966034,0,4186.409030481611,1.004274931272111
13,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/qa7.json,dependent,1,469.63173416757485,181,59,2359,25664,32967,145552,8.775388879001184,4203.275104133609,3733.643369966034,1257.0,45.447772222629354,4990.643369966034,0,4186.409030481611,1.0040287686963205
14,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/qa7.json,mip_gurobi,1,452.7656605155771,250,59,2359,25664,32967,145552,27.81554792300085,4186.409030481611,3733.643369966034,1230.6,49.30314391598166,4964.243369966034,0,4186.409030481611,1.0
15,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/qa7.json,mip_gurobi,0,452.7656605155771,250,59,2359,25664,32967,145552,28.601316038000732,4186.409030481611,3733.643369966034,1273.4,47.14127702979629,5007.0433699660325,0,4186.409030481611,1.0
16,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ma9.json,random,0,423.92363653734617,4,32,4854,31285,22040,82500,3.02270789999966,6126.613194753971,5702.6895582166235,987.4,16.50151508195535,6690.089558216623,0,6079.534783468005,1.0077437522709773
17,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ma9.json,random,1,424.3993708692117,3,32,4854,31285,22040,82500,3.0627654100007926,6127.088929085836,5702.6895582166235,976.2,27.689348132449776,6678.889558216623,0,6079.534783468005,1.007822004036747
18,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ma9.json,dependent,0,387.03182809128054,123,32,4854,31285,22040,82500,7.417994646000808,6089.721386307905,5702.6895582166235,932.0,20.77257807784099,6634.6895582166235,0,6079.534783468005,1.001675556305328
19,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ma9.json,greedy_weighted,0,390.6097814081847,-1,32,4854,31285,22040,82500,0.5211673100002372,6093.299339624809,5702.6895582166235,892.4,25.422431040323428,6595.089558216623,0,6079.534783468005,1.0022640805007372
20,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ma9.json,greedy_weighted,1,390.6097814081847,-1,32,4854,31285,22040,82500,0.6798527379996813,6093.299339624809,5702.6895582166235,859.2,14.652644812456211,6561.889558216623,0,6079.534783468005,1.0022640805007372
21,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ma9.json,dependent,1,385.54300059333946,151,32,4854,31285,22040,82500,8.768614728000102,6088.232558809965,5702.689558216624,919.8,36.23810149552539,6622.489558216626,0,6079.534783468005,1.0014306646234858
22,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ma9.json,mip_gurobi,1,376.84522525138084,184,32,4854,31285,22040,82500,19.118137655999817,6079.534783468005,5702.6895582166235,890.8,16.543881044059766,6593.489558216625,0,6079.534783468005,1.0
23,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ma9.json,mip_gurobi,0,376.84522525138084,184,32,4854,31285,22040,82500,18.98757907699837,6079.534783468005,5702.6895582166235,913.8,30.711561340967346,6616.489558216625,0,6079.534783468005,1.0
24,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/pa10.json,random,0,292.74695890633666,1,31,5772,26012,16285,42903,2.7353169210000488,5132.394646259641,4839.647687353305,540.8,16.037456157383563,5380.447687353305,0,5094.834992626326,1.0073721040402044
25,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/pa10.json,greedy_weighted,0,263.5078706081158,-1,31,5772,26012,16285,42903,0.20939548700152955,5103.1555579614205,4839.647687353305,478.6,17.096783323186852,5318.247687353305,0,5094.834992626326,1.0016331373532483
26,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/pa10.json,dependent,0,261.03806571077087,178,31,5772,26012,16285,42903,3.629236872000547,5100.685753064076,4839.6476873533065,493.6,24.865638942122523,5333.247687353306,0,5094.834992626326,1.0011483709376687
27,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/pa10.json,random,1,291.6712958212508,7,31,5772,26012,16285,42903,2.603566302999752,5131.318983174557,4839.6476873533065,542.6,18.70294094520966,5382.247687353306,0,5094.834992626326,1.0071609758904916
28,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/pa10.json,greedy_weighted,1,263.5078706081158,-1,31,5772,26012,16285,42903,0.20582649999960267,5103.1555579614205,4839.647687353305,468.4,24.37826901156028,5308.047687353303,0,5094.834992626326,1.0016331373532483
29,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/pa10.json,dependent,1,260.5389573656587,167,31,5772,26012,16285,42903,3.463385107999784,5100.186644718964,4839.6476873533065,476.2,12.132600710482484,5315.847687353305,0,5094.834992626326,1.0010504073439832
30,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/pa10.json,mip_gurobi,1,255.18730527302048,207,31,5772,26012,16285,42903,7.722164709000935,5094.834992626326,4839.6476873533065,494.8,56.98420833880208,5334.447687353307,0,5094.834992626326,1.0
31,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/pa10.json,mip_gurobi,0,255.18730527302048,207,31,5772,26012,16285,42903,6.833028953000394,5094.834992626326,4839.6476873533065,477.8,15.254507530562892,5317.447687353307,0,5094.834992626326,1.0
32,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ja11.json,random,0,312.40347891279043,4,27,5736,26662,16890,47422,2.5180330539988063,5326.900114896305,5014.496635983513,598.6,22.187834504520715,5613.096635983515,0,5288.797412558985,1.0072044170659364
33,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ja11.json,greedy_weighted,0,284.57424080115766,-1,27,5736,26662,16890,47422,0.14721534399905067,5299.070876784673,5014.496635983515,539.0,14.089002803605373,5553.496635983514,0,5288.797412558985,1.001942495320636
34,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ja11.json,greedy_weighted,1,284.57424080115766,-1,27,5736,26662,16890,47422,0.1439507830000366,5299.070876784673,5014.496635983515,506.2,26.032671779899964,5520.696635983514,0,5288.797412558985,1.001942495320636
35,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ja11.json,random,1,312.67844086850687,7,27,5736,26662,16890,47422,2.461968304000038,5327.175076852022,5014.496635983515,604.4,22.722235805483578,5618.896635983514,0,5288.797412558985,1.0072564065702165
36,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ja11.json,dependent,0,280.6768586775937,162,27,5736,26662,16890,47422,4.554856491000464,5295.173494661109,5014.496635983515,554.4,25.83215051055564,5568.896635983514,0,5288.797412558985,1.001205582593688
37,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ja11.json,dependent,1,280.44803557773145,166,27,5736,26662,16890,47422,4.890417433000039,5294.944671561247,5014.496635983515,570.2,11.562871615649808,5584.696635983514,0,5288.797412558985,1.0011623169735455
38,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ja11.json,mip_gurobi,0,274.30077657547,187,27,5736,26662,16890,47422,11.785185956001445,5288.797412558985,5014.496635983515,560.6,25.08585258666725,5575.096635983516,0,5288.797412558985,1.0
39,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ja11.json,mip_gurobi,1,274.30077657547,187,27,5736,26662,16890,47422,11.956337416999304,5288.797412558985,5014.496635983515,545.0,15.459624833740305,5559.496635983514,0,5288.797412558985,1.0
40,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ba8.json,random,0,514.713135134558,3,45,3114,28438,29580,130230,4.578157775000363,5036.489921329781,4521.7767861952225,1362.0,61.84658438426491,5883.776786195223,0,4974.695657410844,1.0124217174626313
41,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ba8.json,random,1,514.731068835363,7,45,3114,28438,29580,130230,5.3851535959984185,5036.507855030586,4521.7767861952225,1364.2,42.62862887778587,5885.976786195223,0,4974.695657410844,1.012425322447145
42,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ba8.json,greedy_weighted,1,467.0663311489278,-1,45,3114,28438,29580,130230,0.5626435150006728,4988.843117344151,4521.7767861952225,1231.2,48.950995904067156,5752.976786195223,0,4974.695657410844,1.0028438845122578
43,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ba8.json,greedy_weighted,0,467.0663311489278,-1,45,3114,28438,29580,130230,1.0256608859999687,4988.843117344151,4521.7767861952225,1247.0,59.991666087882564,5768.776786195223,0,4974.695657410844,1.0028438845122578
44,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ba8.json,dependent,0,466.591467004921,160,45,3114,28438,29580,130230,11.806354717999055,4988.368253200144,4521.7767861952225,1236.2,44.206334387732255,5757.976786195223,0,4974.695657410844,1.0027484285936028
