,G,p,method,budget,from_cache,value,isOptimal,maxD,duration,I_size
6564,montgomery,0.078,weighted,600,zb13.json,1577.8833368625005,-1,27,2.218407392501831,2738
6565,montgomery,0.078,weighted,600,nb7.json,2732.548157000046,-1,53,5.095172643661499,1409
6566,montgomery,0.078,weighted,600,zb13.json,1577.8833368625005,-1,27,2.294546604156494,2738
6567,montgomery,0.078,weighted,600,nb7.json,2732.548157000046,-1,53,5.63556170463562,1409
6568,montgomery,0.078,weighted,600,sb8.json,4324.264958688782,-1,46,6.081934690475464,2722
6569,montgomery,0.078,weighted,600,ta13.json,2334.735885429052,-1,26,3.067846298217773,3756
6570,montgomery,0.078,weighted,600,sb8.json,4324.264958688782,-1,46,5.972130298614503,2722
6571,montgomery,0.078,weighted,600,ta13.json,2334.735885429052,-1,26,3.362355947494507,3756
6572,montgomery,0.078,weighted,600,ca14.json,1248.2207415047733,-1,25,2.287353277206421,2276
6573,montgomery,0.078,weighted,600,ca14.json,1248.2207415047733,-1,25,1.8853700160980225,2276
6574,montgomery,0.078,weighted,600,rb12.json,1462.528804063126,-1,27,2.4311325550079346,2579
6575,montgomery,0.078,weighted,600,cb11.json,4234.314526201029,-1,24,7.562287330627441,5465
6576,montgomery,0.078,weighted,600,cb11.json,4234.314526201029,-1,24,7.365623235702515,5465
6577,montgomery,0.078,weighted,600,rb12.json,1462.528804063126,-1,27,2.127878904342652,2579
6578,montgomery,0.078,weighted,600,tb10.json,5672.275715059532,-1,28,9.093898057937624,5729
6579,montgomery,0.078,weighted,600,ua8.json,3455.826625202354,-1,52,5.6631927490234375,2010
6580,montgomery,0.078,weighted,600,tb10.json,5672.275715059532,-1,28,8.901086807250977,5729
6581,montgomery,0.078,weighted,600,ua8.json,3455.826625202354,-1,52,5.871371269226074,2010
6582,montgomery,0.078,weighted,600,la11.json,3542.9746372734508,-1,25,4.3957483768463135,4910
6583,montgomery,0.078,weighted,600,wa8.json,6043.57784725092,-1,36,6.911053419113159,4698
6584,montgomery,0.078,weighted,600,la11.json,3542.9746372734508,-1,25,4.507688999176025,4910
6585,montgomery,0.078,weighted,600,wa8.json,6043.57784725092,-1,36,7.0126283168792725,4698
6586,montgomery,0.078,weighted,600,zb12.json,2706.5822344671915,-1,26,3.6716971397399902,4144
6587,montgomery,0.078,weighted,600,ua14.json,1968.9178791026254,-1,30,3.0334453582763667,3273
6588,montgomery,0.078,weighted,600,zb12.json,2706.5822344671915,-1,26,3.7963578701019287,4144
6589,montgomery,0.078,weighted,600,ia8.json,5150.239264390122,-1,41,6.898876905441284,3534
6590,montgomery,0.078,weighted,600,ua14.json,1968.9178791026254,-1,30,2.969590902328491,3273
6591,montgomery,0.078,weighted,600,sa13.json,2270.3954358274827,-1,25,3.2140254974365234,3663
6592,montgomery,0.078,weighted,600,ia8.json,5150.239264390122,-1,41,6.5101075172424325,3534
6593,montgomery,0.078,weighted,600,bb14.json,633.4090247644865,-1,26,1.245798110961914,1275
6594,montgomery,0.078,weighted,600,bb14.json,633.4090247644865,-1,26,1.2330033779144287,1275
6595,montgomery,0.078,weighted,600,sa13.json,2270.3954358274827,-1,25,3.3368308544158936,3663
6596,montgomery,0.078,weighted,600,nb8.json,4225.1459189858415,-1,46,6.0447678565979,2480
6597,montgomery,0.078,weighted,600,jb13.json,2509.095387468353,-1,27,3.6416637897491455,4076
6598,montgomery,0.078,weighted,600,yb15.json,413.15118437145736,-1,24,0.567415714263916,846
6599,montgomery,0.078,weighted,600,nb8.json,4225.1459189858415,-1,46,6.141317129135133,2480
6600,montgomery,0.078,weighted,600,lb12.json,4177.135493176549,-1,25,7.278379917144775,5423
6601,montgomery,0.078,weighted,600,jb13.json,2509.095387468353,-1,27,3.231750965118408,4076
6602,montgomery,0.078,weighted,600,yb15.json,413.15118437145736,-1,24,0.9301235675811768,846
6603,montgomery,0.078,weighted,600,lb12.json,4177.135493176549,-1,25,7.720976591110229,5423
6604,montgomery,0.078,weighted,600,nb16.json,410.09235017386345,-1,23,0.8351902961730957,884
6605,montgomery,0.078,weighted,600,nb16.json,410.09235017386345,-1,23,0.5636708736419678,884
6606,montgomery,0.078,weighted,600,db15.json,515.8671975975739,-1,22,0.9400596618652344,1062
6607,montgomery,0.078,weighted,600,db15.json,515.8671975975739,-1,22,0.6553328037261963,1062
6608,montgomery,0.078,weighted,600,ea16.json,261.67024415568216,-1,21,0.4113113880157471,588
6609,montgomery,0.078,weighted,600,ka7.json,3756.8860635713286,-1,47,6.140626668930054,2214
6610,montgomery,0.078,weighted,600,ka7.json,3756.8860635713286,-1,47,5.712403059005737,2214
6611,montgomery,0.078,weighted,600,ea16.json,261.67024415568216,-1,21,0.7243649959564209,588
6612,montgomery,0.078,weighted,600,da16.json,321.14511162352403,-1,31,0.4399363994598389,681
6613,montgomery,0.078,weighted,600,da16.json,321.14511162352403,-1,31,0.4676125049591065,681
6614,montgomery,0.078,weighted,600,yb13.json,1565.036276383392,-1,23,2.2891523838043213,2664
6615,montgomery,0.078,weighted,600,xa15.json,234.16867660788486,-1,25,0.6585142612457275,538
6616,montgomery,0.078,weighted,600,yb13.json,1565.036276383392,-1,23,2.891454696655273,2664
6617,montgomery,0.078,weighted,600,xa15.json,234.16867660788486,-1,25,0.6416902542114258,538
6618,montgomery,0.078,weighted,600,mb11.json,4715.648606699733,-1,29,7.91372537612915,5777
6619,montgomery,0.078,weighted,600,mb11.json,4715.648606699733,-1,29,8.200285911560059,5777
