,G,p,budget,from_cache,method,trial_id,min_exposed_value,mip_value,greedy_intersection,maxD,I_size,v1_size,v2_size,num_cross_edges,duration,updated_MIP
24,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/pa10.json,greedy_weighted,1,"(468.4, 24.378269011560278)",263.5078706081158,-1,31,5772,26012,16285,42903,0.20582649999960267,5103.155557961421
25,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/pa10.json,dependent,1,"(476.2, 12.132600710482482)",260.5389573656587,167,31,5772,26012,16285,42903,3.463385107999784,5100.186644718964
26,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ja11.json,random,0,"(598.6, 22.187834504520715)",312.40347891279043,4,27,5736,26662,16890,47422,2.5180330539988063,5326.900114896305
27,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ba8.json,random,0,"(1362, 61.84658438426491)",514.713135134558,3,45,3114,28438,29580,130230,4.578157775000364,5036.489921329781
28,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/pa10.json,mip_gurobi,1,"(494.8, 56.98420833880208)",255.18730527302048,207,31,5772,26012,16285,42903,7.722164709000935,5094.834992626326
29,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ja11.json,greedy_weighted,0,"(539, 14.089002803605371)",284.57424080115766,-1,27,5736,26662,16890,47422,0.14721534399905067,5299.070876784673
30,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ja11.json,greedy_weighted,1,"(506.2, 26.032671779899964)",284.57424080115766,-1,27,5736,26662,16890,47422,0.1439507830000366,5299.070876784673
31,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ja11.json,random,1,"(604.4, 22.72223580548358)",312.67844086850687,7,27,5736,26662,16890,47422,2.461968304000038,5327.175076852022
32,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ba8.json,random,1,"(1364.2, 42.62862887778587)",514.731068835363,7,45,3114,28438,29580,130230,5.3851535959984185,5036.507855030586
33,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ja11.json,dependent,0,"(554.4, 25.83215051055564)",280.6768586775937,162,27,5736,26662,16890,47422,4.554856491000464,5295.173494661109
34,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/nb15.json,random,1,"(153.8, 12.235195135346228)",105.78745602981822,17,27,1584,7527,12026,19278,1.2402655670011882,952.2485917320942
35,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/pa10.json,mip_gurobi,0,"(477.8, 15.254507530562892)",255.18730527302048,207,31,5772,26012,16285,42903,6.833028953000394,5094.834992626326
36,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ja11.json,dependent,1,"(570.2, 11.562871615649808)",280.44803557773145,166,27,5736,26662,16890,47422,4.890417433000039,5294.944671561247
37,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/qa7.json,mip_gurobi,1,"(1230.6, 49.303143915981664)",452.7656605155771,250,59,2359,25664,32967,145552,27.81554792300085,4186.409030481611
